Passengers,Entry Time,Passenger Origin,Passenger Destination
310,2009-01-01 16:40:58,N,O
311,2009-01-01 16:46:10,L,O
312,2009-01-01 16:46:31,D,I
313,2009-01-01 16:46:48,A,U
314,2009-01-01 16:48:36,F,A
315,2009-01-01 16:55:20,X,S
316,2009-01-01 16:55:51,C,B
317,2009-01-01 16:56:14,A,D
318,2009-01-01 16:56:45,Q,X
319,2009-01-01 17:00:08,V,R
320,2009-01-01 17:00:55,R,W
321,2009-01-01 17:01:48,G,E
322,2009-01-01 17:03:36,S,M
323,2009-01-01 17:04:49,U,W
324,2009-01-01 17:11:23,X,Y
325,2009-01-01 17:11:44,B,H
326,2009-01-01 17:14:44,K,F
327,2009-01-01 17:15:37,U,Q
328,2009-01-01 17:19:14,R,F
329,2009-01-01 17:19:53,E,X
330,2009-01-01 17:22:42,G,I
331,2009-01-01 17:24:16,L,X
332,2009-01-01 17:25:12,B,T
333,2009-01-01 17:25:58,H,R
334,2009-01-01 17:27:06,D,W
335,2009-01-01 17:28:51,N,X
336,2009-01-01 17:29:00,E,K
337,2009-01-01 17:31:34,A,R
338,2009-01-01 17:35:29,Q,E
339,2009-01-01 17:38:21,X,E
340,2009-01-01 17:38:42,X,A
341,2009-01-01 17:39:39,Q,N
342,2009-01-01 17:40:23,Q,F
343,2009-01-01 17:40:27,Q,K
344,2009-01-01 17:42:12,G,N
345,2009-01-01 17:42:26,J,T
346,2009-01-01 17:42:46,A,F
347,2009-01-01 17:44:41,X,M
348,2009-01-01 17:44:47,V,D
349,2009-01-01 17:47:56,J,X
350,2009-01-01 17:49:42,W,A
351,2009-01-01 17:51:47,R,V
352,2009-01-01 18:00:03,D,R
353,2009-01-01 18:00:04,F,B
354,2009-01-01 18:04:18,R,F
355,2009-01-01 18:05:36,K,M
356,2009-01-01 18:06:39,D,L
357,2009-01-01 18:06:50,W,U
358,2009-01-01 18:07:23,B,V
359,2009-01-01 18:10:10,E,X
360,2009-01-01 18:12:24,B,C
361,2009-01-01 18:13:27,J,G
362,2009-01-01 18:16:02,T,X
363,2009-01-01 18:16:12,Q,G
364,2009-01-01 18:17:27,O,H
365,2009-01-01 18:17:36,G,R
366,2009-01-01 18:22:17,T,I
367,2009-01-01 18:24:38,F,M
368,2009-01-01 18:26:15,D,C
369,2009-01-01 18:26:26,V,A
370,2009-01-01 18:29:48,Q,Y
371,2009-01-01 18:34:26,E,H
372,2009-01-01 18:35:46,K,C
373,2009-01-01 18:36:22,K,V
374,2009-01-01 18:37:27,P,T
375,2009-01-01 18:38:40,L,Y
376,2009-01-01 18:39:34,L,F
377,2009-01-01 18:40:17,K,E
378,2009-01-01 18:41:24,W,I
379,2009-01-01 18:43:07,P,B
380,2009-01-01 18:43:22,U,H
381,2009-01-01 18:44:35,G,U
382,2009-01-01 18:45:19,N,R
383,2009-01-01 18:45:39,T,B
384,2009-01-01 18:45:54,S,I
385,2009-01-01 18:45:57,N,F
386,2009-01-01 18:47:03,G,N
387,2009-01-01 18:51:44,R,W
388,2009-01-01 18:52:27,S,R
389,2009-01-01 18:52:31,Y,Q
390,2009-01-01 18:57:15,Q,Y
391,2009-01-01 18:58:35,T,J
392,2009-01-01 19:00:28,G,H
393,2009-01-01 19:02:09,O,S
394,2009-01-01 19:03:04,B,E
395,2009-01-01 19:07:25,Y,X
396,2009-01-01 19:08:15,X,J
397,2009-01-01 19:10:25,T,M
398,2009-01-01 19:12:19,P,K
399,2009-01-01 19:13:29,B,J
400,2009-01-01 19:15:33,H,E
401,2009-01-01 19:15:48,K,U
402,2009-01-01 19:17:25,N,Y
403,2009-01-01 19:18:47,E,A
404,2009-01-01 19:20:32,Q,T
405,2009-01-01 19:21:02,L,N
406,2009-01-01 19:21:05,G,Y
407,2009-01-01 19:21:57,E,I
408,2009-01-01 19:24:10,E,W
409,2009-01-01 19:24:24,X,E
410,2009-01-01 19:24:52,M,Q
411,2009-01-01 19:27:02,C,U
412,2009-01-01 19:28:21,J,W
413,2009-01-01 19:28:54,G,S
414,2009-01-01 19:30:03,P,I
415,2009-01-01 19:33:51,X,L
416,2009-01-01 19:33:59,K,H
417,2009-01-01 19:34:03,H,X
418,2009-01-01 19:35:06,E,J
419,2009-01-01 19:40:11,H,S
420,2009-01-01 19:40:19,G,T
421,2009-01-01 19:40:23,X,S
422,2009-01-01 19:41:28,T,S
423,2009-01-01 19:41:33,G,X
424,2009-01-01 19:42:22,M,Q
425,2009-01-01 19:44:05,Y,T
426,2009-01-01 19:44:52,T,H
427,2009-01-01 19:46:04,W,L
428,2009-01-01 19:51:26,O,R
429,2009-01-01 19:52:46,C,R
430,2009-01-01 19:53:16,H,U
431,2009-01-01 19:53:27,N,A
432,2009-01-01 19:54:12,J,U
433,2009-01-01 19:57:13,I,C
434,2009-01-01 20:01:18,N,E
435,2009-01-01 20:01:57,V,N
436,2009-01-01 20:04:49,T,C
437,2009-01-01 20:05:34,L,P
438,2009-01-01 20:06:31,F,N
439,2009-01-01 20:07:15,Q,M
440,2009-01-01 20:12:07,G,H
441,2009-01-01 20:13:19,I,M
442,2009-01-01 20:15:30,N,L
443,2009-01-01 20:18:31,X,Y
444,2009-01-01 20:19:26,A,F
445,2009-01-01 20:19:57,M,H
446,2009-01-01 20:20:56,F,O
447,2009-01-01 20:21:20,V,K
448,2009-01-01 20:26:14,T,M
449,2009-01-01 20:26:23,Q,M
450,2009-01-01 20:27:14,F,I
451,2009-01-01 20:29:10,V,Q
452,2009-01-01 20:29:17,R,I
453,2009-01-01 20:33:55,S,B
454,2009-01-01 20:35:38,A,J
455,2009-01-01 20:38:15,V,U
456,2009-01-01 20:41:51,Q,G
457,2009-01-01 20:43:24,X,P
458,2009-01-01 20:45:07,R,J
459,2009-01-01 20:46:28,H,E
460,2009-01-01 20:46:29,Y,G
461,2009-01-01 20:47:08,B,F
462,2009-01-01 20:50:01,Y,O
463,2009-01-01 20:50:53,D,B
464,2009-01-01 20:51:50,V,U
465,2009-01-01 20:51:56,O,X
466,2009-01-01 20:54:10,F,D
467,2009-01-01 20:55:21,O,L
468,2009-01-01 20:57:47,Q,S
469,2009-01-01 20:57:50,N,A
470,2009-01-01 20:58:14,K,Q
471,2009-01-01 20:58:17,L,C
472,2009-01-01 20:59:51,L,V
473,2009-01-01 21:00:18,I,L
474,2009-01-01 21:02:11,X,V
475,2009-01-01 21:02:13,F,S
476,2009-01-01 21:03:32,Y,K
477,2009-01-01 21:04:47,N,G
478,2009-01-01 21:05:42,U,O
479,2009-01-01 21:06:54,Q,P
480,2009-01-01 21:06:59,J,R
481,2009-01-01 21:07:13,N,Q
482,2009-01-01 21:07:38,H,M
483,2009-01-01 21:08:55,R,J
484,2009-01-01 21:09:37,T,B
485,2009-01-01 21:10:03,U,M
486,2009-01-01 21:10:07,V,R
487,2009-01-01 21:10:24,U,F
488,2009-01-01 21:10:25,D,P
489,2009-01-01 21:11:45,M,J
490,2009-01-01 21:11:56,R,X
491,2009-01-01 21:12:54,C,I
492,2009-01-01 21:13:37,X,C
493,2009-01-01 21:14:20,R,P
494,2009-01-01 21:16:29,J,S
495,2009-01-01 21:16:43,N,G
496,2009-01-01 21:19:50,I,C
497,2009-01-01 21:21:25,R,G
498,2009-01-01 21:22:26,R,E
499,2009-01-01 21:24:30,B,S
500,2009-01-01 21:24:46,R,J
