Passenger,Origin,Dest,Entry Time,Waiting Time,Boarding Time,Promise Board,Travel Time,Alighting Time,Promise Alight,Bus Selected,Bus Route Passengers,Bus Route Locations,Alight Difference,Board Difference
11,O,X,2009-01-01 09:15:36,00:12:34,2009-01-01 09:28:10,2009-01-01 09:51:36,00:12:00,2009-01-01 09:40:10,2009-01-01 10:03:36,9,"[11, 22, -1, 27, 11, 22, -1, -1, 27]","['O', 'J', 'N', 'T', 'X', 'W', 'Q', 'K', 'G']",00:23:26,00:23:26
23,X,L,2009-01-01 09:23:34,00:10:35,2009-01-01 09:34:09,2009-01-01 09:59:34,00:12:00,2009-01-01 09:46:09,2009-01-01 10:11:34,6,"[13, 14, 23, 34, -1, 23, 13, 14, -1, 34]","['X', 'X', 'X', 'X', 'R', 'L', 'F', 'K', 'P', 'U']",00:25:25,00:25:25
22,J,W,2009-01-01 09:22:02,00:06:08,2009-01-01 09:28:10,2009-01-01 09:58:02,00:18:00,2009-01-01 09:46:10,2009-01-01 10:22:02,9,"[11, 22, -1, 27, 11, 22, -1, -1, 27]","['O', 'J', 'N', 'T', 'X', 'W', 'Q', 'K', 'G']",00:35:52,00:29:52
21,S,I,2009-01-01 09:21:47,00:13:56,2009-01-01 09:35:43,2009-01-01 09:57:47,00:12:00,2009-01-01 09:47:43,2009-01-01 10:09:47,0,"[21, -1, 17, 21, -1, 17, 35, -1, -1, -1, 35]","['S', 'M', 'I', 'I', 'M', 'Q', 'W', 'Q', 'L', 'H', 'D']",00:22:04,00:22:04
28,P,R,2009-01-01 09:28:36,00:09:07,2009-01-01 09:37:43,2009-01-01 10:04:36,00:12:00,2009-01-01 09:49:43,2009-01-01 10:16:36,8,"[4, 15, 26, 28, 31, 4, -1, 28, -1, 25, 15, 31, -1, -1, 26, 25]","['Q', 'V', 'P', 'P', 'P', 'P', 'L', 'R', 'N', 'T', 'T', 'T', 'N', 'H', 'C', 'D']",00:26:53,00:26:53
13,X,F,2009-01-01 09:16:57,00:17:12,2009-01-01 09:34:09,2009-01-01 09:52:57,00:18:00,2009-01-01 09:52:09,2009-01-01 10:10:57,6,"[13, 14, 23, 34, -1, 23, 13, 14, -1, 34]","['X', 'X', 'X', 'X', 'R', 'L', 'F', 'K', 'P', 'U']",00:18:48,00:18:48
6,H,E,2009-01-01 09:12:10,00:07:58,2009-01-01 09:20:08,2009-01-01 09:48:10,00:36:00,2009-01-01 09:56:08,2009-01-01 10:00:10,3,"[6, 18, -1, 18, -1, -1, 6]","['H', 'L', 'F', 'B', 'C', 'D', 'E']",00:04:02,00:28:02
30,C,M,2009-01-01 09:29:53,00:14:45,2009-01-01 09:44:38,2009-01-01 10:11:53,00:12:00,2009-01-01 09:56:38,2009-01-01 10:23:53,2,"[24, 30, 42, 29, 30, 42, 24, 43, 45, 29, -1, 45, -1, -1, -1, 43]","['C', 'C', 'H', 'M', 'M', 'M', 'S', 'O', 'O', 'T', 'N', 'J', 'D', 'C', 'G', 'K']",00:27:15,00:27:15
42,H,M,2009-01-01 09:44:09,00:06:29,2009-01-01 09:50:38,2009-01-01 10:20:09,00:06:00,2009-01-01 09:56:38,2009-01-01 10:26:09,2,"[24, 30, 42, 29, 30, 42, 24, 43, 45, 29, -1, 45, -1, -1, -1, 43]","['C', 'C', 'H', 'M', 'M', 'M', 'S', 'O', 'O', 'T', 'N', 'J', 'D', 'C', 'G', 'K']",00:29:31,00:29:31
8,U,Y,2009-01-01 09:12:59,00:20:15,2009-01-01 09:33:14,2009-01-01 09:48:59,00:24:00,2009-01-01 09:57:14,2009-01-01 10:12:59,5,"[8, -1, -1, -1, 32, 8, 33, 33, -1, 32]","['U', 'Q', 'M', 'S', 'Y', 'Y', 'T', 'N', 'H', 'L']",00:15:45,00:15:45
14,X,K,2009-01-01 09:17:52,00:16:17,2009-01-01 09:34:09,2009-01-01 09:53:52,00:24:00,2009-01-01 09:58:09,2009-01-01 10:17:52,6,"[13, 14, 23, 34, -1, 23, 13, 14, -1, 34]","['X', 'X', 'X', 'X', 'R', 'L', 'F', 'K', 'P', 'U']",00:19:43,00:19:43
15,V,T,2009-01-01 09:18:16,00:13:27,2009-01-01 09:31:43,2009-01-01 09:54:16,00:30:00,2009-01-01 10:01:43,2009-01-01 10:24:16,8,"[4, 15, 26, 28, 31, 4, -1, 28, -1, 25, 15, 31, -1, -1, 26, 25]","['Q', 'V', 'P', 'P', 'P', 'P', 'L', 'R', 'N', 'T', 'T', 'T', 'N', 'H', 'C', 'D']",00:22:33,00:22:33
31,P,T,2009-01-01 09:31:43,00:06:00,2009-01-01 09:37:43,2009-01-01 10:07:43,00:24:00,2009-01-01 10:01:43,2009-01-01 10:31:43,8,"[4, 15, 26, 28, 31, 4, -1, 28, -1, 25, 15, 31, -1, -1, 26, 25]","['Q', 'V', 'P', 'P', 'P', 'P', 'L', 'R', 'N', 'T', 'T', 'T', 'N', 'H', 'C', 'D']",00:30:00,00:30:00
24,C,S,2009-01-01 09:25:54,00:18:44,2009-01-01 09:44:38,2009-01-01 10:07:54,00:18:00,2009-01-01 10:02:38,2009-01-01 10:25:54,2,"[24, 30, 42, 29, 30, 42, 24, 43, 45, 29, -1, 45, -1, -1, -1, 43]","['C', 'C', 'H', 'M', 'M', 'M', 'S', 'O', 'O', 'T', 'N', 'J', 'D', 'C', 'G', 'K']",00:23:16,00:23:16
38,F,K,2009-01-01 09:40:39,00:18:00,2009-01-01 09:58:39,2009-01-01 10:28:39,00:06:00,2009-01-01 10:04:39,2009-01-01 10:34:39,1,"[19, -1, -1, 38, 38, -1, 19]","['D', 'C', 'B', 'F', 'K', 'P', 'U']",00:30:00,00:30:00
17,I,Q,2009-01-01 09:19:14,00:34:38,2009-01-01 09:53:52,2009-01-01 10:07:14,00:12:00,2009-01-01 10:05:52,2009-01-01 10:19:14,0,"[17, -1, 49, 17, 35, -1, 47, -1, -1, 49, 35, 47]","['I', 'M', 'Q', 'Q', 'W', 'Q', 'U', 'Q', 'M', 'I', 'D', 'C']",00:13:22,00:13:22
27,T,G,2009-01-01 09:28:10,00:20:58,2009-01-01 09:49:08,2009-01-01 10:04:10,00:18:00,2009-01-01 10:07:08,2009-01-01 10:34:10,9,"[27, -1, -1, 27, 46, -1, -1, 46]","['T', 'N', 'H', 'G', 'A', 'G', 'M', 'S']",00:27:02,00:15:02
39,F,M,2009-01-01 09:41:39,00:14:23,2009-01-01 09:56:02,2009-01-01 10:23:39,00:12:00,2009-01-01 10:08:02,2009-01-01 10:47:39,7,"[16, 37, 36, 39, 41, 37, 39, 36, 50, 16, 41, -1, -1, 50]","['K', 'K', 'F', 'F', 'L', 'M', 'M', 'G', 'C', 'C', 'C', 'G', 'L', 'R']",00:39:37,00:27:37
37,K,M,2009-01-01 09:38:41,00:17:21,2009-01-01 09:56:02,2009-01-01 10:14:41,00:12:00,2009-01-01 10:08:02,2009-01-01 10:44:41,7,"[16, 37, 36, 39, 41, 37, 39, 36, 50, 16, 41, -1, -1, 50]","['K', 'K', 'F', 'F', 'L', 'M', 'M', 'G', 'C', 'C', 'C', 'G', 'L', 'R']",00:36:39,00:18:39
34,X,U,2009-01-01 09:34:09,00:00:00,2009-01-01 09:34:09,2009-01-01 10:04:09,00:36:00,2009-01-01 10:10:09,2009-01-01 10:40:09,6,"[13, 14, 23, 34, -1, 23, 13, 14, -1, 34]","['X', 'X', 'X', 'X', 'R', 'L', 'F', 'K', 'P', 'U']",00:30:00,00:30:00
36,F,G,2009-01-01 09:37:52,00:18:10,2009-01-01 09:56:02,2009-01-01 10:19:52,00:18:00,2009-01-01 10:14:02,2009-01-01 10:25:52,7,"[16, 37, 36, 39, 41, 37, 39, 36, 50, 16, 41, -1, -1, 50]","['K', 'K', 'F', 'F', 'L', 'M', 'M', 'G', 'C', 'C', 'C', 'G', 'L', 'R']",00:11:50,00:23:50
33,T,N,2009-01-01 09:33:14,00:35:22,2009-01-01 10:08:36,2009-01-01 10:33:14,00:06:00,2009-01-01 10:14:36,2009-01-01 10:39:14,5,"[32, 33, 53, 33, -1, 52, 32, 53, -1, -1, 52]","['Y', 'T', 'T', 'N', 'H', 'L', 'L', 'Q', 'L', 'H', 'D']",00:24:38,00:24:38
29,M,T,2009-01-01 09:29:35,00:27:03,2009-01-01 09:56:38,2009-01-01 10:23:35,00:18:00,2009-01-01 10:14:38,2009-01-01 10:35:35,2,"[24, 30, 42, 29, 30, 42, 24, 43, 45, 29, -1, 45, -1, -1, -1, 43]","['C', 'C', 'H', 'M', 'M', 'M', 'S', 'O', 'O', 'T', 'N', 'J', 'D', 'C', 'G', 'K']",00:20:57,00:26:57
5,E,A,2009-01-01 09:10:56,00:40:40,2009-01-01 09:51:36,2009-01-01 09:52:56,00:24:00,2009-01-01 10:15:36,2009-01-01 10:16:56,4,"[5, -1, -1, 48, 40, 44, 5, -1, 48, -1, 40, -1, 44]","['E', 'D', 'C', 'B', 'A', 'A', 'A', 'F', 'L', 'Q', 'W', 'S', 'T']",00:01:20,00:01:20
26,P,C,2009-01-01 09:26:42,00:11:01,2009-01-01 09:37:43,2009-01-01 10:02:42,00:42:00,2009-01-01 10:19:43,2009-01-01 10:20:42,8,"[4, 15, 26, 28, 31, 4, -1, 28, -1, 25, 15, 31, -1, -1, 26, 25]","['Q', 'V', 'P', 'P', 'P', 'P', 'L', 'R', 'N', 'T', 'T', 'T', 'N', 'H', 'C', 'D']",00:00:59,00:24:59
16,K,C,2009-01-01 09:18:29,00:37:33,2009-01-01 09:56:02,2009-01-01 10:12:29,00:24:00,2009-01-01 10:20:02,2009-01-01 10:24:29,7,"[16, 37, 36, 39, 41, 37, 39, 36, 50, 16, 41, -1, -1, 50]","['K', 'K', 'F', 'F', 'L', 'M', 'M', 'G', 'C', 'C', 'C', 'G', 'L', 'R']",00:04:27,00:16:27
41,L,C,2009-01-01 09:44:01,00:18:01,2009-01-01 10:02:02,2009-01-01 10:32:01,00:18:00,2009-01-01 10:20:02,2009-01-01 10:50:01,7,"[16, 37, 36, 39, 41, 37, 39, 36, 50, 16, 41, -1, -1, 50]","['K', 'K', 'F', 'F', 'L', 'M', 'M', 'G', 'C', 'C', 'C', 'G', 'L', 'R']",00:29:59,00:29:59
51,I,S,2009-01-01 09:58:31,00:11:37,2009-01-01 10:10:08,2009-01-01 10:34:31,00:12:00,2009-01-01 10:22:08,2009-01-01 10:46:31,3,"[-1, 51, 54, 51, 54]","['E', 'I', 'M', 'S', 'Y']",00:24:23,00:24:23
45,O,J,2009-01-01 09:44:38,00:34:52,2009-01-01 10:19:30,2009-01-01 10:38:38,00:06:00,2009-01-01 10:25:30,2009-01-01 10:56:38,2,"[43, 45, 45, -1, -1, 62, 43, -1, -1, -1, 62]","['O', 'O', 'J', 'I', 'M', 'Q', 'K', 'G', 'C', 'D', 'J']",00:31:08,00:19:08
61,S,W,2009-01-01 10:15:17,00:06:00,2009-01-01 10:21:17,2009-01-01 10:51:17,00:06:00,2009-01-01 10:27:17,2009-01-01 10:57:17,5,"[32, 53, 61, 61, 53, 52, 32, -1, 52]","['Y', 'T', 'S', 'W', 'Q', 'L', 'L', 'H', 'D']",00:30:00,00:30:00
48,B,L,2009-01-01 09:51:36,00:18:00,2009-01-01 10:09:36,2009-01-01 10:39:36,00:18:00,2009-01-01 10:27:36,2009-01-01 10:57:36,4,"[5, -1, -1, 48, 40, 44, 5, -1, 48, -1, 40, -1, 44]","['E', 'D', 'C', 'B', 'A', 'A', 'A', 'F', 'L', 'Q', 'W', 'S', 'T']",00:30:00,00:30:00
19,D,U,2009-01-01 09:20:31,00:44:51,2009-01-01 10:05:22,2009-01-01 10:08:31,00:24:00,2009-01-01 10:29:22,2009-01-01 10:32:31,1,"[19, -1, -1, 55, 19, -1, -1, -1, 55]","['D', 'H', 'L', 'Q', 'U', 'P', 'K', 'G', 'C']",00:03:09,00:03:09
53,T,Q,2009-01-01 10:02:36,00:12:41,2009-01-01 10:15:17,2009-01-01 10:38:36,00:18:00,2009-01-01 10:33:17,2009-01-01 11:02:36,5,"[32, 53, 61, 61, 53, 52, 32, -1, 52]","['Y', 'T', 'S', 'W', 'Q', 'L', 'L', 'H', 'D']",00:29:19,00:23:19
54,M,Y,2009-01-01 10:04:08,00:19:59,2009-01-01 10:24:07,2009-01-01 10:46:08,00:12:00,2009-01-01 10:36:07,2009-01-01 10:58:08,3,"[54, -1, 54, -1, -1, 68, -1, 68]","['M', 'S', 'Y', 'S', 'M', 'L', 'P', 'V']",00:22:01,00:22:01
59,P,H,2009-01-01 10:13:28,00:13:23,2009-01-01 10:26:51,2009-01-01 10:49:28,00:12:00,2009-01-01 10:38:51,2009-01-01 11:01:28,6,"[59, 71, 58, 59, 71, 58, -1, 57, -1, -1, -1, 57]","['P', 'L', 'H', 'H', 'H', 'M', 'I', 'E', 'I', 'M', 'S', 'Y']",00:22:37,00:22:37
71,L,H,2009-01-01 10:26:51,00:00:00,2009-01-01 10:26:51,2009-01-01 10:56:51,00:12:00,2009-01-01 10:38:51,2009-01-01 11:08:51,6,"[59, 71, 58, 59, 71, 58, -1, 57, -1, -1, -1, 57]","['P', 'L', 'H', 'H', 'H', 'M', 'I', 'E', 'I', 'M', 'S', 'Y']",00:30:00,00:30:00
32,Y,L,2009-01-01 09:33:05,00:42:12,2009-01-01 10:15:17,2009-01-01 10:27:05,00:24:00,2009-01-01 10:39:17,2009-01-01 10:45:05,5,"[32, 53, 61, 61, 53, 52, 32, -1, 52]","['Y', 'T', 'S', 'W', 'Q', 'L', 'L', 'H', 'D']",00:05:48,00:11:48
73,U,V,2009-01-01 10:29:57,00:03:33,2009-01-01 10:33:30,2009-01-01 10:59:57,00:06:00,2009-01-01 10:39:30,2009-01-01 11:05:57,1,"[55, 73, 73, 75, 75, -1, -1, 74, 74, 55, -1, 76, -1, 76]","['Q', 'U', 'V', 'R', 'Q', 'K', 'F', 'A', 'B', 'C', 'I', 'O', 'N', 'R']",00:26:27,00:26:27
40,A,W,2009-01-01 09:43:40,00:31:56,2009-01-01 10:15:36,2009-01-01 10:37:40,00:24:00,2009-01-01 10:39:36,2009-01-01 11:01:40,4,"[5, -1, -1, 48, 40, 44, 5, -1, 48, -1, 40, -1, 44]","['E', 'D', 'C', 'B', 'A', 'A', 'A', 'F', 'L', 'Q', 'W', 'S', 'T']",00:22:04,00:22:04
25,T,D,2009-01-01 09:26:25,00:58:43,2009-01-01 10:25:08,2009-01-01 10:26:25,00:18:00,2009-01-01 10:43:08,2009-01-01 10:44:25,8,"[25, -1, -1, 25, -1, -1, -1, 70, -1, -1, -1, 70]","['T', 'N', 'H', 'D', 'H', 'L', 'P', 'V', 'P', 'K', 'G', 'C']",00:01:17,00:01:17
56,R,W,2009-01-01 10:07:21,00:32:27,2009-01-01 10:39:48,2009-01-01 11:01:21,00:06:00,2009-01-01 10:45:48,2009-01-01 11:13:21,9,"[46, -1, -1, 56, 60, 64, 56, 46, 60, -1, -1, 64]","['A', 'F', 'L', 'R', 'R', 'W', 'W', 'S', 'N', 'H', 'B', 'F']",00:27:33,00:21:33
69,Q,M,2009-01-01 10:24:22,00:10:06,2009-01-01 10:34:28,2009-01-01 10:54:22,00:12:00,2009-01-01 10:46:28,2009-01-01 11:06:22,0,"[49, 35, -1, 47, 69, 67, 77, 69, 49, 77, 35, 47, -1, 67]","['Q', 'W', 'Q', 'U', 'Q', 'R', 'R', 'M', 'I', 'I', 'D', 'C', 'I', 'O']",00:19:54,00:19:54
50,C,R,2009-01-01 09:56:02,00:26:33,2009-01-01 10:22:35,2009-01-01 10:50:02,00:24:00,2009-01-01 10:46:35,2009-01-01 11:08:02,7,"[50, 66, -1, -1, 50, 66, 63, 65, 65, -1, -1, -1, 63]","['C', 'D', 'H', 'L', 'R', 'X', 'Y', 'Y', 'T', 'N', 'H', 'B', 'A']",00:21:27,00:27:27
75,R,Q,2009-01-01 10:33:08,00:13:49,2009-01-01 10:46:57,2009-01-01 11:15:08,00:00:00,2009-01-01 10:46:57,2009-01-01 11:21:08,1,"[55, 75, 75, -1, -1, 76, -1, 55, -1, 74, 85, 74, -1, -1, 76, -1, 85]","['Q', 'R', 'Q', 'M', 'I', 'O', 'I', 'C', 'B', 'A', 'A', 'B', 'F', 'L', 'R', 'N', 'J']",00:34:11,00:28:11
58,H,M,2009-01-01 10:12:57,00:31:40,2009-01-01 10:44:37,2009-01-01 11:00:57,00:06:00,2009-01-01 10:50:37,2009-01-01 11:06:57,6,"[58, 58, -1, 57, -1, -1, -1, 82, 57, -1, 82]","['H', 'M', 'I', 'E', 'I', 'M', 'S', 'Y', 'Y', 'S', 'N']",00:16:20,00:16:20
78,Y,X,2009-01-01 10:37:41,00:07:13,2009-01-01 10:44:54,2009-01-01 11:07:41,00:06:00,2009-01-01 10:50:54,2009-01-01 11:13:41,3,"[78, 78, -1, 68, 79, 83, 79, -1, 68, -1, -1, -1, 83]","['Y', 'X', 'R', 'L', 'F', 'G', 'M', 'Q', 'V', 'P', 'K', 'F', 'A']",00:22:47,00:22:47
52,L,D,2009-01-01 10:01:43,00:37:34,2009-01-01 10:39:17,2009-01-01 10:55:43,00:12:00,2009-01-01 10:51:17,2009-01-01 11:07:43,5,"[32, 53, 61, 61, 53, 52, 32, -1, 52]","['Y', 'T', 'S', 'W', 'Q', 'L', 'L', 'H', 'D']",00:16:26,00:16:26
44,A,T,2009-01-01 09:44:19,00:31:17,2009-01-01 10:15:36,2009-01-01 10:38:19,00:36:00,2009-01-01 10:51:36,2009-01-01 11:14:19,4,"[5, -1, -1, 48, 40, 44, 5, -1, 48, -1, 40, -1, 44]","['E', 'D', 'C', 'B', 'A', 'A', 'A', 'F', 'L', 'Q', 'W', 'S', 'T']",00:22:43,00:22:43
46,A,S,2009-01-01 09:49:08,00:32:40,2009-01-01 10:21:48,2009-01-01 10:43:08,00:30:00,2009-01-01 10:51:48,2009-01-01 11:01:08,9,"[46, -1, -1, 56, 60, 64, 56, 46, 60, -1, -1, 64]","['A', 'F', 'L', 'R', 'R', 'W', 'W', 'S', 'N', 'H', 'B', 'F']",00:09:20,00:21:20
77,R,I,2009-01-01 10:34:28,00:06:00,2009-01-01 10:40:28,2009-01-01 11:10:28,00:12:00,2009-01-01 10:52:28,2009-01-01 11:22:28,0,"[49, 35, -1, 47, 69, 67, 77, 69, 49, 77, 35, 47, -1, 67]","['Q', 'W', 'Q', 'U', 'Q', 'R', 'R', 'M', 'I', 'I', 'D', 'C', 'I', 'O']",00:30:00,00:30:00
49,Q,I,2009-01-01 09:53:52,00:40:36,2009-01-01 10:34:28,2009-01-01 10:35:52,00:18:00,2009-01-01 10:52:28,2009-01-01 11:11:52,0,"[49, 35, -1, 47, 69, 67, 77, 69, 49, 77, 35, 47, -1, 67]","['Q', 'W', 'Q', 'U', 'Q', 'R', 'R', 'M', 'I', 'I', 'D', 'C', 'I', 'O']",00:19:24,00:01:24
66,D,X,2009-01-01 10:22:35,00:06:00,2009-01-01 10:28:35,2009-01-01 10:58:35,00:24:00,2009-01-01 10:52:35,2009-01-01 11:22:35,7,"[50, 66, -1, -1, 50, 66, 63, 65, 65, -1, -1, -1, 63]","['C', 'D', 'H', 'L', 'R', 'X', 'Y', 'Y', 'T', 'N', 'H', 'B', 'A']",00:30:00,00:30:00
60,R,N,2009-01-01 10:13:53,00:25:55,2009-01-01 10:39:48,2009-01-01 11:01:53,00:18:00,2009-01-01 10:57:48,2009-01-01 11:25:53,9,"[46, -1, -1, 56, 60, 64, 56, 46, 60, -1, -1, 64]","['A', 'F', 'L', 'R', 'R', 'W', 'W', 'S', 'N', 'H', 'B', 'F']",00:28:05,00:22:05
35,W,D,2009-01-01 09:35:43,00:58:45,2009-01-01 10:34:28,2009-01-01 10:35:43,00:24:00,2009-01-01 10:58:28,2009-01-01 10:59:43,0,"[49, 35, -1, 47, 69, 67, 77, 69, 49, 77, 35, 47, -1, 67]","['Q', 'W', 'Q', 'U', 'Q', 'R', 'R', 'M', 'I', 'I', 'D', 'C', 'I', 'O']",00:01:15,00:01:15
43,O,K,2009-01-01 09:44:10,00:43:50,2009-01-01 10:28:00,2009-01-01 10:38:10,00:36:00,2009-01-01 11:04:00,2009-01-01 11:08:10,2,"[43, -1, -1, 62, 72, -1, 43, -1, -1, -1, 62, 72]","['O', 'I', 'M', 'Q', 'U', 'P', 'K', 'G', 'C', 'D', 'J', 'E']",00:04:10,00:10:10
47,U,C,2009-01-01 09:50:12,00:44:16,2009-01-01 10:34:28,2009-01-01 10:50:12,00:30:00,2009-01-01 11:04:28,2009-01-01 11:20:12,0,"[49, 35, -1, 47, 69, 67, 77, 69, 49, 77, 35, 47, -1, 67]","['Q', 'W', 'Q', 'U', 'Q', 'R', 'R', 'M', 'I', 'I', 'D', 'C', 'I', 'O']",00:15:44,00:15:44
65,Y,T,2009-01-01 10:21:51,00:36:44,2009-01-01 10:58:35,2009-01-01 11:21:51,00:06:00,2009-01-01 11:04:35,2009-01-01 11:27:51,7,"[50, 66, -1, -1, 50, 66, 63, 65, 65, -1, -1, -1, 63]","['C', 'D', 'H', 'L', 'R', 'X', 'Y', 'Y', 'T', 'N', 'H', 'B', 'A']",00:23:16,00:23:16
91,H,B,2009-01-01 11:02:18,00:00:00,2009-01-01 11:02:18,2009-01-01 11:32:18,00:06:00,2009-01-01 11:08:18,2009-01-01 11:38:18,5,"[91, 91, -1, -1, 89, -1, 89]","['H', 'B', 'G', 'M', 'S', 'M', 'G']",00:30:00,00:30:00
74,A,B,2009-01-01 10:32:08,00:36:06,2009-01-01 11:08:14,2009-01-01 11:32:08,00:06:00,2009-01-01 11:14:14,2009-01-01 11:38:08,1,"[55, -1, 86, 74, 85, 74, 55, 86, -1, 76, 85, -1, 76, 87, -1, 87]","['Q', 'K', 'G', 'A', 'A', 'B', 'C', 'H', 'I', 'O', 'J', 'N', 'R', 'X', 'R', 'Q']",00:23:54,00:23:54
64,W,F,2009-01-01 10:21:48,00:24:00,2009-01-01 10:45:48,2009-01-01 11:15:48,00:30:00,2009-01-01 11:15:48,2009-01-01 11:45:48,9,"[46, -1, -1, 56, 60, 64, 56, 46, 60, -1, -1, 64]","['A', 'F', 'L', 'R', 'R', 'W', 'W', 'S', 'N', 'H', 'B', 'F']",00:30:00,00:30:00
67,R,O,2009-01-01 10:24:05,00:10:23,2009-01-01 10:34:28,2009-01-01 11:00:05,00:42:00,2009-01-01 11:16:28,2009-01-01 11:36:05,0,"[49, 35, -1, 47, 69, 67, 77, 69, 49, 77, 35, 47, -1, 67]","['Q', 'W', 'Q', 'U', 'Q', 'R', 'R', 'M', 'I', 'I', 'D', 'C', 'I', 'O']",00:19:37,00:25:37
55,Q,C,2009-01-01 10:05:22,00:44:52,2009-01-01 10:50:14,2009-01-01 10:53:22,00:30:00,2009-01-01 11:20:14,2009-01-01 11:23:22,1,"[55, -1, 86, 74, 85, 74, 55, 86, -1, 76, 85, -1, 76, 87, -1, 87]","['Q', 'K', 'G', 'A', 'A', 'B', 'C', 'H', 'I', 'O', 'J', 'N', 'R', 'X', 'R', 'Q']",00:03:08,00:03:08
79,F,M,2009-01-01 10:43:05,00:25:49,2009-01-01 11:08:54,2009-01-01 11:37:05,00:12:00,2009-01-01 11:20:54,2009-01-01 11:49:05,3,"[78, 78, -1, 68, 79, 83, 79, -1, 68, -1, -1, -1, 83]","['Y', 'X', 'R', 'L', 'F', 'G', 'M', 'Q', 'V', 'P', 'K', 'F', 'A']",00:28:11,00:28:11
97,S,M,2009-01-01 11:13:57,00:06:00,2009-01-01 11:19:57,2009-01-01 11:49:57,00:06:00,2009-01-01 11:25:57,2009-01-01 11:55:57,7,"[63, 94, 97, 97, -1, 94, 63]","['Y', 'T', 'S', 'M', 'G', 'A', 'A']",00:30:00,00:30:00
86,G,H,2009-01-01 10:49:44,00:12:30,2009-01-01 11:02:14,2009-01-01 11:31:44,00:24:00,2009-01-01 11:26:14,2009-01-01 11:55:44,1,"[55, -1, 86, 74, 85, 74, 55, 86, -1, 76, 85, -1, 76, 87, -1, 87]","['Q', 'K', 'G', 'A', 'A', 'B', 'C', 'H', 'I', 'O', 'J', 'N', 'R', 'X', 'R', 'Q']",00:29:30,00:29:30
57,E,Y,2009-01-01 10:10:09,00:52:28,2009-01-01 11:02:37,2009-01-01 11:04:09,00:24:00,2009-01-01 11:26:37,2009-01-01 11:28:09,6,"[58, 58, -1, 57, -1, -1, -1, 82, 57, -1, 82]","['H', 'M', 'I', 'E', 'I', 'M', 'S', 'Y', 'Y', 'S', 'N']",00:01:32,00:01:32
