Passengers,Entry Time,Passenger Origin,Passenger Destination
98,2009-01-01 10:14:55,Y,B
99,2009-01-01 10:17:13,U,O
100,2009-01-01 10:17:22,B,D
101,2009-01-01 10:17:27,S,A
102,2009-01-01 10:18:31,V,O
103,2009-01-01 10:19:42,Q,H
104,2009-01-01 10:20:55,Y,M
105,2009-01-01 10:21:33,M,U
106,2009-01-01 10:21:42,V,J
107,2009-01-01 10:21:52,W,C
108,2009-01-01 10:22:16,S,I
109,2009-01-01 10:23:24,K,X
110,2009-01-01 10:23:25,D,C
111,2009-01-01 10:23:39,V,J
112,2009-01-01 10:24:29,I,Q
113,2009-01-01 10:25:45,V,D
114,2009-01-01 10:26:06,P,S
115,2009-01-01 10:26:08,W,D
116,2009-01-01 10:26:33,J,S
117,2009-01-01 10:26:57,O,P
118,2009-01-01 10:28:07,B,K
119,2009-01-01 10:28:48,X,G
120,2009-01-01 10:30:28,X,L
121,2009-01-01 10:30:37,E,U
122,2009-01-01 10:31:25,D,K
123,2009-01-01 10:31:43,I,O
124,2009-01-01 10:32:24,P,H
125,2009-01-01 10:32:49,T,D
126,2009-01-01 10:33:05,V,A
127,2009-01-01 10:33:06,I,Q
128,2009-01-01 10:35:23,D,N
129,2009-01-01 10:35:40,G,T
130,2009-01-01 10:35:43,W,N
131,2009-01-01 10:36:34,C,R
132,2009-01-01 10:36:50,W,U
133,2009-01-01 10:38:01,L,J
134,2009-01-01 10:40:43,V,L
135,2009-01-01 10:41:16,E,A
136,2009-01-01 10:42:00,A,U
137,2009-01-01 10:42:07,Q,O
138,2009-01-01 10:42:10,T,W
139,2009-01-01 10:43:56,U,G
140,2009-01-01 10:44:31,K,E
141,2009-01-01 10:45:10,N,B
142,2009-01-01 10:45:12,Y,S
143,2009-01-01 10:47:09,V,O
144,2009-01-01 10:47:59,R,A
145,2009-01-01 10:48:38,O,U
146,2009-01-01 10:48:58,M,H
147,2009-01-01 10:49:52,S,G
148,2009-01-01 10:50:23,Q,N
149,2009-01-01 10:51:50,Q,O
150,2009-01-01 10:53:01,E,C
151,2009-01-01 10:53:57,G,D
152,2009-01-01 10:54:18,V,C
153,2009-01-01 10:54:55,I,P
154,2009-01-01 10:54:56,Y,V
155,2009-01-01 10:54:59,J,I
156,2009-01-01 10:55:25,I,X
157,2009-01-01 10:56:26,D,V
158,2009-01-01 10:56:27,P,H
159,2009-01-01 10:56:45,Q,C
160,2009-01-01 10:57:02,L,F
161,2009-01-01 10:57:43,V,P
162,2009-01-01 10:57:48,H,G
163,2009-01-01 10:58:12,H,O
164,2009-01-01 10:59:18,G,A
165,2009-01-01 11:00:12,R,I
166,2009-01-01 11:00:38,N,P
167,2009-01-01 11:00:44,I,V
168,2009-01-01 11:01:14,E,G
169,2009-01-01 11:01:20,A,U
170,2009-01-01 11:01:40,L,O
171,2009-01-01 11:03:34,P,T
172,2009-01-01 11:04:08,Q,B
173,2009-01-01 11:04:32,G,T
174,2009-01-01 11:05:42,R,A
175,2009-01-01 11:05:44,F,V
176,2009-01-01 11:05:46,Y,T
177,2009-01-01 11:05:56,J,G
178,2009-01-01 11:06:18,S,L
179,2009-01-01 11:08:08,Q,W
180,2009-01-01 11:08:43,D,W
181,2009-01-01 11:09:05,U,G
182,2009-01-01 11:10:29,M,Q
183,2009-01-01 11:11:21,J,O
184,2009-01-01 11:13:17,J,W
185,2009-01-01 11:13:34,B,L
186,2009-01-01 11:15:05,A,Q
187,2009-01-01 11:15:11,F,C
188,2009-01-01 11:15:35,E,T
189,2009-01-01 11:15:37,P,B
190,2009-01-01 11:15:39,T,P
191,2009-01-01 11:16:25,Q,N
192,2009-01-01 11:16:45,I,O
193,2009-01-01 11:17:09,Y,V
194,2009-01-01 11:17:51,L,V
195,2009-01-01 11:18:17,H,C
196,2009-01-01 11:18:26,G,M
197,2009-01-01 11:18:27,P,J
198,2009-01-01 11:19:03,U,Y
199,2009-01-01 11:19:17,X,F
200,2009-01-01 11:20:21,S,E
201,2009-01-01 11:22:54,J,O
202,2009-01-01 11:23:13,N,T
203,2009-01-01 11:23:33,C,H
204,2009-01-01 11:24:57,W,B
205,2009-01-01 11:26:35,C,N
206,2009-01-01 11:27:19,X,A
207,2009-01-01 11:29:39,V,J
208,2009-01-01 11:31:01,O,R
209,2009-01-01 11:31:05,H,B
210,2009-01-01 11:32:14,D,T
211,2009-01-01 11:33:09,A,O
212,2009-01-01 11:34:19,D,L
213,2009-01-01 11:35:17,D,G
214,2009-01-01 11:35:19,X,V
215,2009-01-01 11:35:41,B,R
216,2009-01-01 11:36:07,L,F
217,2009-01-01 11:36:40,F,U
218,2009-01-01 11:36:58,V,R
219,2009-01-01 11:37:06,E,J
220,2009-01-01 11:37:34,D,E
221,2009-01-01 11:37:49,R,J
222,2009-01-01 11:38:21,H,E
223,2009-01-01 11:38:53,V,F
224,2009-01-01 11:39:45,K,E
225,2009-01-01 11:43:02,L,S
226,2009-01-01 11:43:18,D,G
227,2009-01-01 11:43:57,J,C
228,2009-01-01 11:44:05,J,M
229,2009-01-01 11:44:54,Y,X
230,2009-01-01 11:45:13,W,E
231,2009-01-01 11:45:44,F,U
232,2009-01-01 11:45:59,I,C
233,2009-01-01 11:46:12,E,L
234,2009-01-01 11:46:28,Q,P
235,2009-01-01 11:46:29,D,N
236,2009-01-01 11:47:00,L,Q
237,2009-01-01 11:48:37,N,S
238,2009-01-01 11:48:53,N,U
239,2009-01-01 11:51:07,J,M
240,2009-01-01 11:51:09,L,Q
241,2009-01-01 11:51:15,W,H
242,2009-01-01 11:51:44,C,K
243,2009-01-01 11:51:48,H,I
244,2009-01-01 11:52:48,I,B
245,2009-01-01 11:56:29,S,B
246,2009-01-01 11:57:14,D,A
247,2009-01-01 11:57:18,W,B
248,2009-01-01 11:58:02,H,A
249,2009-01-01 11:59:23,G,H
250,2009-01-01 12:00:40,R,N
251,2009-01-01 12:00:42,T,C
252,2009-01-01 12:01:07,F,J
253,2009-01-01 12:01:28,N,C
254,2009-01-01 12:03:23,B,I
255,2009-01-01 12:04:31,J,H
256,2009-01-01 12:05:09,N,W
257,2009-01-01 12:06:41,K,J
258,2009-01-01 12:07:08,D,B
259,2009-01-01 12:07:48,J,L
260,2009-01-01 12:08:26,Q,T
261,2009-01-01 12:08:29,X,G
262,2009-01-01 12:09:02,C,S
263,2009-01-01 12:09:07,A,J
264,2009-01-01 12:09:33,S,D
265,2009-01-01 12:09:47,Q,P
266,2009-01-01 12:10:15,R,Y
267,2009-01-01 12:10:58,W,D
268,2009-01-01 12:12:43,U,I
269,2009-01-01 12:12:47,M,S
270,2009-01-01 12:13:31,S,K
271,2009-01-01 12:13:54,T,W
272,2009-01-01 12:14:16,P,B
273,2009-01-01 12:14:28,N,G
274,2009-01-01 12:14:36,K,T
275,2009-01-01 12:14:39,F,P
276,2009-01-01 12:15:13,W,N
277,2009-01-01 12:15:40,N,M
278,2009-01-01 12:16:42,M,V
279,2009-01-01 12:17:00,F,X
280,2009-01-01 12:19:34,K,C
281,2009-01-01 12:19:52,E,Q
282,2009-01-01 12:20:05,V,G
283,2009-01-01 12:21:22,K,E
284,2009-01-01 12:21:25,K,H
285,2009-01-01 12:21:27,U,L
286,2009-01-01 12:25:58,V,P
287,2009-01-01 12:26:01,F,S
288,2009-01-01 12:26:20,G,T
289,2009-01-01 12:26:39,E,D
290,2009-01-01 12:27:06,N,D
291,2009-01-01 12:27:48,C,N
292,2009-01-01 12:29:31,V,O
293,2009-01-01 12:29:51,X,S
294,2009-01-01 12:30:39,V,Q
295,2009-01-01 12:33:16,T,K
296,2009-01-01 12:33:40,R,L
297,2009-01-01 12:34:34,P,E
298,2009-01-01 12:34:37,U,F
299,2009-01-01 12:35:13,A,S
300,2009-01-01 12:35:35,H,W
301,2009-01-01 12:36:07,T,Y
302,2009-01-01 12:36:51,Q,L
303,2009-01-01 12:38:08,R,V
304,2009-01-01 12:40:29,N,I
305,2009-01-01 12:41:25,M,G
306,2009-01-01 12:41:26,Y,X
307,2009-01-01 12:41:58,E,O
308,2009-01-01 12:42:09,E,H
309,2009-01-01 12:42:19,K,X
310,2009-01-01 12:42:26,Q,E
311,2009-01-01 12:44:22,Y,J
312,2009-01-01 12:45:07,V,C
313,2009-01-01 12:46:34,J,C
314,2009-01-01 12:48:18,G,H
315,2009-01-01 12:49:18,L,F
316,2009-01-01 12:49:20,R,P
317,2009-01-01 12:49:50,G,M
318,2009-01-01 12:50:09,X,G
319,2009-01-01 12:51:32,G,U
320,2009-01-01 12:53:34,G,E
321,2009-01-01 12:53:46,K,V
322,2009-01-01 12:54:14,E,U
323,2009-01-01 12:54:19,J,D
324,2009-01-01 12:55:38,F,A
325,2009-01-01 12:55:48,C,V
326,2009-01-01 12:56:16,R,W
327,2009-01-01 12:56:24,G,O
328,2009-01-01 12:57:24,L,X
329,2009-01-01 12:58:13,G,U
330,2009-01-01 12:58:13,P,U
331,2009-01-01 12:58:26,E,W
332,2009-01-01 13:00:51,N,Y
333,2009-01-01 13:01:59,X,B
334,2009-01-01 13:03:29,Q,H
335,2009-01-01 13:03:35,C,D
336,2009-01-01 13:04:59,E,C
337,2009-01-01 13:07:29,S,M
338,2009-01-01 13:08:27,A,D
339,2009-01-01 13:08:46,C,F
340,2009-01-01 13:08:57,P,G
341,2009-01-01 13:09:43,W,Y
342,2009-01-01 13:09:51,I,S
343,2009-01-01 13:09:52,S,R
344,2009-01-01 13:09:53,N,J
345,2009-01-01 13:13:53,L,I
346,2009-01-01 13:16:07,R,B
347,2009-01-01 13:16:19,O,V
348,2009-01-01 13:16:33,U,N
349,2009-01-01 13:20:34,Y,N
350,2009-01-01 13:20:54,I,X
351,2009-01-01 13:21:32,X,Y
352,2009-01-01 13:21:47,T,X
353,2009-01-01 13:21:59,D,G
354,2009-01-01 13:22:35,T,A
355,2009-01-01 13:23:02,K,T
356,2009-01-01 13:24:45,D,W
357,2009-01-01 13:26:44,Y,X
358,2009-01-01 13:26:58,G,L
359,2009-01-01 13:27:17,C,J
360,2009-01-01 13:27:29,U,V
361,2009-01-01 13:28:24,G,C
362,2009-01-01 13:29:25,C,U
363,2009-01-01 13:29:34,I,O
364,2009-01-01 13:30:29,N,G
365,2009-01-01 13:31:35,Y,D
366,2009-01-01 13:36:10,D,L
367,2009-01-01 13:36:36,K,I
368,2009-01-01 13:36:48,L,Q
369,2009-01-01 13:36:52,C,W
370,2009-01-01 13:37:21,R,H
371,2009-01-01 13:37:23,L,V
372,2009-01-01 13:37:56,C,O
373,2009-01-01 13:38:22,L,P
374,2009-01-01 13:38:24,L,E
375,2009-01-01 13:39:43,C,S
376,2009-01-01 13:41:12,A,H
377,2009-01-01 13:41:22,C,Y
378,2009-01-01 13:41:37,D,E
379,2009-01-01 13:42:09,K,F
380,2009-01-01 13:42:49,N,W
381,2009-01-01 13:43:54,N,F
382,2009-01-01 13:43:56,I,G
383,2009-01-01 13:44:20,F,D
384,2009-01-01 13:48:39,P,K
385,2009-01-01 13:49:05,L,A
386,2009-01-01 13:49:21,B,W
387,2009-01-01 13:49:40,P,T
388,2009-01-01 13:50:21,X,K
389,2009-01-01 13:50:50,K,J
390,2009-01-01 13:50:53,X,J
391,2009-01-01 13:51:10,H,L
392,2009-01-01 13:51:18,X,O
393,2009-01-01 13:51:27,L,V
394,2009-01-01 13:51:28,J,I
395,2009-01-01 13:51:53,T,A
396,2009-01-01 13:52:23,K,R
397,2009-01-01 13:52:43,T,K
398,2009-01-01 13:53:00,G,P
399,2009-01-01 13:53:31,F,I
400,2009-01-01 13:54:23,N,U
401,2009-01-01 13:54:45,R,Y
402,2009-01-01 13:55:29,I,E
403,2009-01-01 13:58:09,Y,Q
404,2009-01-01 13:59:00,A,P
405,2009-01-01 13:59:21,M,A
406,2009-01-01 13:59:34,C,F
407,2009-01-01 14:00:07,W,D
408,2009-01-01 14:00:20,E,V
409,2009-01-01 14:00:42,O,U
410,2009-01-01 14:00:49,U,K
411,2009-01-01 14:01:30,P,N
412,2009-01-01 14:02:03,N,X
413,2009-01-01 14:02:17,Y,Q
414,2009-01-01 14:04:19,B,F
415,2009-01-01 14:05:04,Q,L
416,2009-01-01 14:05:43,W,B
417,2009-01-01 14:06:20,Y,F
418,2009-01-01 14:06:35,R,A
419,2009-01-01 14:07:09,Q,C
420,2009-01-01 14:07:15,L,X
421,2009-01-01 14:07:25,N,K
422,2009-01-01 14:08:20,A,T
423,2009-01-01 14:08:41,E,N
424,2009-01-01 14:09:55,U,L
425,2009-01-01 14:10:21,L,B
426,2009-01-01 14:10:25,B,A
427,2009-01-01 14:10:39,M,G
428,2009-01-01 14:12:08,B,J
429,2009-01-01 14:12:36,C,B
430,2009-01-01 14:13:32,H,S
431,2009-01-01 14:14:02,P,M
432,2009-01-01 14:14:29,I,U
433,2009-01-01 14:14:35,N,L
434,2009-01-01 14:15:12,W,Q
435,2009-01-01 14:15:15,Y,Q
436,2009-01-01 14:15:25,U,L
437,2009-01-01 14:15:43,Q,F
438,2009-01-01 14:16:02,G,T
439,2009-01-01 14:16:22,J,T
440,2009-01-01 14:16:48,U,L
441,2009-01-01 14:17:06,R,I
442,2009-01-01 14:17:42,V,I
443,2009-01-01 14:19:08,X,J
444,2009-01-01 14:19:40,W,H
445,2009-01-01 14:20:52,L,H
446,2009-01-01 14:21:39,C,X
447,2009-01-01 14:21:55,I,F
448,2009-01-01 14:22:08,Y,F
449,2009-01-01 14:23:06,Y,N
450,2009-01-01 14:23:16,J,U
451,2009-01-01 14:24:00,K,B
452,2009-01-01 14:24:02,R,S
453,2009-01-01 14:25:17,U,V
454,2009-01-01 14:25:57,L,I
455,2009-01-01 14:26:40,N,S
456,2009-01-01 14:26:46,Q,J
457,2009-01-01 14:26:51,E,B
458,2009-01-01 14:27:04,G,J
459,2009-01-01 14:28:30,Y,S
460,2009-01-01 14:29:56,L,Q
461,2009-01-01 14:31:36,J,N
462,2009-01-01 14:32:23,E,N
463,2009-01-01 14:34:07,G,H
464,2009-01-01 14:34:18,X,O
465,2009-01-01 14:34:24,K,G
466,2009-01-01 14:35:30,D,L
467,2009-01-01 14:36:09,G,T
468,2009-01-01 14:36:23,K,O
469,2009-01-01 14:36:43,T,K
470,2009-01-01 14:38:57,L,S
471,2009-01-01 14:39:30,M,Q
472,2009-01-01 14:41:47,R,N
473,2009-01-01 14:41:49,U,X
474,2009-01-01 14:41:55,F,O
475,2009-01-01 14:42:33,W,V
476,2009-01-01 14:42:57,T,J
477,2009-01-01 14:45:19,F,R
478,2009-01-01 14:45:51,F,E
479,2009-01-01 14:46:24,E,S
480,2009-01-01 14:47:04,P,K
481,2009-01-01 14:48:54,R,D
482,2009-01-01 14:49:24,C,Y
483,2009-01-01 14:49:26,F,P
484,2009-01-01 14:49:29,B,V
485,2009-01-01 14:49:56,I,F
486,2009-01-01 14:49:57,D,R
487,2009-01-01 14:52:22,H,U
488,2009-01-01 14:52:27,L,T
489,2009-01-01 14:52:55,H,Y
490,2009-01-01 14:54:51,E,M
491,2009-01-01 14:55:02,U,F
492,2009-01-01 14:55:19,I,R
493,2009-01-01 14:55:39,Y,F
494,2009-01-01 14:55:55,K,T
495,2009-01-01 14:57:13,X,B
496,2009-01-01 14:59:59,O,N
497,2009-01-01 15:02:33,V,X
498,2009-01-01 15:03:28,I,F
499,2009-01-01 15:04:27,T,L
500,2009-01-01 15:04:37,K,A
501,2009-01-01 15:04:42,R,L
502,2009-01-01 15:06:03,F,L
503,2009-01-01 15:06:49,L,X
504,2009-01-01 15:07:08,V,O
505,2009-01-01 15:07:44,W,P
506,2009-01-01 15:08:04,A,X
507,2009-01-01 15:08:04,M,G
508,2009-01-01 15:09:13,T,R
509,2009-01-01 15:09:34,P,E
510,2009-01-01 15:11:42,J,T
511,2009-01-01 15:12:05,F,M
512,2009-01-01 15:13:24,G,V
513,2009-01-01 15:16:44,K,X
514,2009-01-01 15:17:15,W,L
515,2009-01-01 15:17:38,D,N
516,2009-01-01 15:17:40,G,A
517,2009-01-01 15:18:40,J,W
518,2009-01-01 15:18:45,U,J
519,2009-01-01 15:19:17,I,F
520,2009-01-01 15:20:16,N,Y
521,2009-01-01 15:20:16,N,C
522,2009-01-01 15:20:41,X,B
523,2009-01-01 15:20:55,F,L
524,2009-01-01 15:21:03,O,N
525,2009-01-01 15:22:52,Y,O
526,2009-01-01 15:23:09,O,S
527,2009-01-01 15:24:01,F,Y
528,2009-01-01 15:25:05,Y,I
529,2009-01-01 15:25:40,E,U
530,2009-01-01 15:25:44,X,H
531,2009-01-01 15:26:15,F,P
532,2009-01-01 15:27:04,R,W
533,2009-01-01 15:27:23,U,I
534,2009-01-01 15:28:22,D,L
535,2009-01-01 15:29:02,P,X
536,2009-01-01 15:29:51,V,X
537,2009-01-01 15:30:58,C,E
538,2009-01-01 15:31:20,S,M
539,2009-01-01 15:31:28,R,L
540,2009-01-01 15:31:29,U,K
541,2009-01-01 15:32:08,S,K
542,2009-01-01 15:33:36,B,H
543,2009-01-01 15:33:49,X,E
544,2009-01-01 15:34:00,E,N
545,2009-01-01 15:34:13,F,M
546,2009-01-01 15:34:28,G,A
547,2009-01-01 15:34:57,T,N
548,2009-01-01 15:36:28,P,W
549,2009-01-01 15:36:29,T,Y
550,2009-01-01 15:36:45,N,P
551,2009-01-01 15:37:06,P,V
552,2009-01-01 15:37:28,Y,V
553,2009-01-01 15:38:09,R,J
554,2009-01-01 15:38:10,E,U
555,2009-01-01 15:39:24,K,E
556,2009-01-01 15:40:26,C,A
557,2009-01-01 15:41:07,C,H
558,2009-01-01 15:41:30,O,B
559,2009-01-01 15:42:00,V,L
560,2009-01-01 15:42:03,I,Q
561,2009-01-01 15:42:33,K,X
562,2009-01-01 15:42:33,N,U
563,2009-01-01 15:43:18,P,U
564,2009-01-01 15:43:49,D,O
565,2009-01-01 15:44:11,O,F
566,2009-01-01 15:46:03,U,I
567,2009-01-01 15:46:23,L,G
568,2009-01-01 15:47:21,L,E
569,2009-01-01 15:47:59,H,B
570,2009-01-01 15:48:45,S,D
571,2009-01-01 15:49:24,P,D
572,2009-01-01 15:50:01,F,A
573,2009-01-01 15:50:55,R,O
574,2009-01-01 15:51:30,V,D
575,2009-01-01 15:51:55,K,R
576,2009-01-01 15:53:13,F,K
577,2009-01-01 15:53:21,P,J
578,2009-01-01 15:53:34,O,D
579,2009-01-01 15:53:35,E,K
580,2009-01-01 15:53:50,K,I
581,2009-01-01 15:56:48,I,M
582,2009-01-01 15:57:27,M,B
583,2009-01-01 15:58:33,Y,L
584,2009-01-01 16:00:36,C,Q
585,2009-01-01 16:00:54,M,N
586,2009-01-01 16:01:07,R,Q
587,2009-01-01 16:01:58,N,U
588,2009-01-01 16:02:01,C,B
589,2009-01-01 16:03:20,X,L
590,2009-01-01 16:03:26,T,X
591,2009-01-01 16:05:11,W,N
592,2009-01-01 16:05:12,Y,I
593,2009-01-01 16:06:15,T,C
594,2009-01-01 16:07:06,K,F
595,2009-01-01 16:07:07,R,K
596,2009-01-01 16:07:35,S,G
597,2009-01-01 16:08:25,G,U
598,2009-01-01 16:09:31,I,X
599,2009-01-01 16:12:21,O,G
600,2009-01-01 16:12:52,T,X
601,2009-01-01 16:13:56,H,Y
602,2009-01-01 16:14:47,K,S
603,2009-01-01 16:17:09,O,P
604,2009-01-01 16:17:25,Q,B
605,2009-01-01 16:17:42,C,T
606,2009-01-01 16:18:07,K,R
607,2009-01-01 16:19:29,E,J
608,2009-01-01 16:19:38,V,R
609,2009-01-01 16:22:05,G,Q
610,2009-01-01 16:22:07,Y,F
611,2009-01-01 16:22:28,B,Y
612,2009-01-01 16:22:49,D,A
613,2009-01-01 16:24:33,M,I
614,2009-01-01 16:29:03,E,F
615,2009-01-01 16:29:16,K,P
616,2009-01-01 16:29:41,F,I
617,2009-01-01 16:30:38,Y,S
618,2009-01-01 16:30:42,L,Y
619,2009-01-01 16:32:06,O,S
620,2009-01-01 16:32:08,S,N
621,2009-01-01 16:32:42,D,B
622,2009-01-01 16:32:42,F,V
623,2009-01-01 16:32:44,U,J
624,2009-01-01 16:33:19,I,W
625,2009-01-01 16:33:34,N,P
626,2009-01-01 16:33:56,R,G
627,2009-01-01 16:34:24,S,T
628,2009-01-01 16:34:44,Q,C
629,2009-01-01 16:34:44,E,I
630,2009-01-01 16:35:32,S,E
631,2009-01-01 16:35:59,A,M
632,2009-01-01 16:37:41,K,Y
633,2009-01-01 16:40:01,N,L
634,2009-01-01 16:40:03,Q,K
635,2009-01-01 16:40:32,R,Q
636,2009-01-01 16:41:01,M,R
637,2009-01-01 16:41:43,W,E
638,2009-01-01 16:42:56,I,W
639,2009-01-01 16:43:30,L,X
640,2009-01-01 16:43:46,I,C
641,2009-01-01 16:44:10,U,E
642,2009-01-01 16:44:17,L,I
643,2009-01-01 16:44:44,I,B
644,2009-01-01 16:45:22,A,W
645,2009-01-01 16:46:24,O,B
646,2009-01-01 16:47:13,E,N
647,2009-01-01 16:48:09,G,D
648,2009-01-01 16:49:01,X,T
649,2009-01-01 16:49:07,K,C
650,2009-01-01 16:49:14,W,P
651,2009-01-01 16:50:03,O,H
652,2009-01-01 16:50:53,R,V
653,2009-01-01 16:52:10,E,D
654,2009-01-01 16:53:06,Q,G
655,2009-01-01 16:54:09,S,D
656,2009-01-01 16:54:20,J,L
657,2009-01-01 16:54:46,D,O
658,2009-01-01 16:55:51,C,G
659,2009-01-01 16:57:12,M,G
660,2009-01-01 16:57:58,Q,W
661,2009-01-01 16:58:28,K,U
662,2009-01-01 16:59:06,U,O
663,2009-01-01 16:59:32,H,E
664,2009-01-01 16:59:41,O,U
665,2009-01-01 16:59:49,M,L
666,2009-01-01 17:01:11,A,T
667,2009-01-01 17:03:36,S,C
668,2009-01-01 17:05:59,J,Y
669,2009-01-01 17:06:49,F,S
670,2009-01-01 17:07:05,X,V
671,2009-01-01 17:07:44,T,U
672,2009-01-01 17:08:19,P,L
673,2009-01-01 17:08:34,X,J
674,2009-01-01 17:08:41,A,C
675,2009-01-01 17:08:42,I,U
676,2009-01-01 17:09:26,M,U
677,2009-01-01 17:11:01,K,R
678,2009-01-01 17:13:13,A,F
679,2009-01-01 17:13:40,E,M
680,2009-01-01 17:14:04,V,Q
681,2009-01-01 17:14:16,M,E
682,2009-01-01 17:14:25,F,A
683,2009-01-01 17:17:08,M,R
684,2009-01-01 17:17:27,D,F
685,2009-01-01 17:19:27,O,L
686,2009-01-01 17:20:24,M,C
687,2009-01-01 17:20:29,O,X
688,2009-01-01 17:21:05,J,Y
689,2009-01-01 17:24:09,H,L
690,2009-01-01 17:24:14,F,D
691,2009-01-01 17:24:46,U,T
692,2009-01-01 17:25:13,R,Q
693,2009-01-01 17:26:10,C,Q
694,2009-01-01 17:28:42,D,K
695,2009-01-01 17:29:08,S,U
696,2009-01-01 17:30:16,X,K
697,2009-01-01 17:30:28,Y,R
698,2009-01-01 17:30:30,P,B
699,2009-01-01 17:31:02,M,P
700,2009-01-01 17:31:16,U,L
701,2009-01-01 17:32:09,R,F
702,2009-01-01 17:33:09,H,W
703,2009-01-01 17:33:23,S,M
704,2009-01-01 17:33:42,N,T
705,2009-01-01 17:34:02,G,Y
706,2009-01-01 17:36:05,A,E
707,2009-01-01 17:36:25,N,X
708,2009-01-01 17:36:39,C,B
709,2009-01-01 17:37:18,A,M
710,2009-01-01 17:38:26,R,U
711,2009-01-01 17:39:15,X,F
712,2009-01-01 17:40:00,X,D
713,2009-01-01 17:40:21,E,L
714,2009-01-01 17:41:05,Y,P
715,2009-01-01 17:41:26,T,H
716,2009-01-01 17:42:12,O,H
717,2009-01-01 17:43:00,A,W
718,2009-01-01 17:43:31,A,Y
719,2009-01-01 17:43:41,Q,H
720,2009-01-01 17:44:39,K,U
721,2009-01-01 17:45:03,E,G
722,2009-01-01 17:45:22,Q,K
723,2009-01-01 17:46:14,E,W
724,2009-01-01 17:47:54,E,K
725,2009-01-01 17:47:58,S,W
726,2009-01-01 17:48:14,J,R
727,2009-01-01 17:48:16,C,E
